transect_id,presence,pct_vegetation,pct_gravel,pct_rock,pct_soil,notes
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,
PN3,0,0,0,0,100,1 planta
PN3,0,0,0,0,100,1 planta
PN3,0,0,0,0,100,1 planta
PN4,0,0,5,0,95,
PN4,0,0,10,0,90,
PN4,0,0,5,0,95,
PN4,0,0,0,0,100,
PN4,0,0,5,0,95,
PN4,0,0,0,0,100,
PN4,0,0,0,0,100,
PN4,0,0,0,0,100,
PN4,0,10,0,0,90,
PN4,0,20,0,0,80,
PM3,0,0,40,0,60,
PM3,0,0,10,0,90,
PM3,0,0,15,0,85,
PM3,0,0,10,0,90,
PM3,0,0,0,0,100,
PM3,0,0,0,0,100,
PM3,0,0,15,2,83,
PM3,0,0,15,15,70,
PM3,0,0,30,0,70,
PM3,0,0,15,5,80,
PM4,0,0,0,30,70,
PM4,0,0,5,20,75,
PM4,0,0,5,20,75,
PM4,0,0,0,0,100,
PM4,0,0,0,0,100,
PM4,0,0,0,20,80,
PM4,0,0,0,20,80,
PM4,0,0,5,25,70,
PM4,0,30,5,0,65,
PM4,0,40,0,0,60,
PF1,0,0,45,5,50,
PF1,0,0,15,0,85,
PF1,0,0,15,0,85,
PF1,0,0,20,0,80,
PF1,0,0,15,0,85,
PF1,0,0,10,0,90,
PF1,0,0,10,20,70,
PF1,0,35,15,15,35,
PF1,0,20,0,10,70,
PF1,0,15,0,0,85,
PF2,0,0,10,10,80,
PF2,0,15,0,0,85,
PF2,0,10,0,0,90,
PF2,0,5,0,5,90,
PF2,0,0,0,0,100,
PF2,0,0,0,5,95,
PF2,0,5,0,0,95,
PF2,0,25,0,0,75,
PF2,0,60,0,0,40,
PC1,0,0,0,0,100,
PC1,0,0,5,0,95,
PC1,0,0,5,0,95,
PC1,0,0,0,0,100,
PC1,0,0,0,0,100,
PC1,0,0,5,0,95,
PC1,0,0,0,0,100,
PC1,0,20,10,5,65,
PC1,0,15,5,0,80,
PC1,0,15,5,0,80,
PC2,0,25,70,0,5,
PC2,0,0,15,5,80,
PC2,0,15,5,0,80,escarabajos
PC2,0,0,50,0,50,
PC2,0,0,5,15,80,Escarabajos
PC2,0,0,0,20,80,
PC2,0,50,25,10,15,
PC2,0,45,0,5,50,
PC2,0,20,10,20,50,
PC2,0,10,40,0,50,
PC2,0,10,40,0,50,
